Test potential (mV),Aslanidi 2009 atrial,Test potential (mV),Aslanidi 2009 Purkinje,Test potential (mV),Bartolucci 2020 (epi),Test potential (mV),Beeler-Reuter 1977,Test potential (mV),Bondarenko 2004 apical,Test potential (mV),Cabo 2003 (Non-infarcted) (ICaL),Test potential (mV),Corrias 2011,Test potential (mV),Cortassa 2006 (ICaL),Test potential (mV),Courtemanche 1998,Test potential (mV),Decker 2009,Test potential (mV),Demir 1994,Test potential (mV),DiFrancesco 1985 ICaL study,Test potential (mV),Dokos 1996 (ICaL Only),Test potential (mV),Faber 2007 (ICaL),Test potential (mV),Fink 2008,Test potential (mV),Fox 2002,Test potential (mV),Grandi 2010 ICaL study,Test potential (mV),Grandi 2011,Test potential (mV),Heijman 2011,Test potential (mV),Hilgemann 1987,Test potential (mV),Hund 2008 (NZ)(ICaL),Test potential (mV),Hund Rudy 2004,Test potential (mV),Inada 2009 (atrio-nodal),Test potential (mV),Iyer 2004 ICaL study,Test potential (mV),Jafri 1998,Test potential (mV),Kernik 2019 (ICaL),Test potential (mV),Koivumaki 2011 ICaL study,Test potential (mV),Kurata 2002 ICaL study,Test potential (mV),Li 2010,Test potential (mV),Li 2011 (ICaL),Test potential (mV),Lindblad 1996,Test potential (mV),Liu 1993 (ICaL),Test potential (mV),Livshitz 2007 (ICaL),Test potential (mV),Lovell 2004 (ICaL),Test potential (mV),Luo 1994 ICaL study,Test potential (mV),Mahajan 2008,Test potential (mV),Matsuoka 2003 ICaL study,Test potential (mV),McAllister 1975 (Model B),Test potential (mV),Michailova 2005,Test potential (mV),Noble 1991 ICaL study,Test potential (mV),Noble 1998 ICaL study,Test potential (mV),Nordin 1993 (ICaL),Test potential (mV),Nygren 1998,Test potential (mV),O'Hara 2011 ICaL study,Test potential (mV),Paci 2013 (atrial-like),Test potential (mV),Pandit 2001 (epi),Test potential (mV),Pasek 2006,Test potential (mV),Priebe 1998,Test potential (mV),Ramirez 2000,Test potential (mV),Sato 2006 (ICaL),Test potential (mV),Shannon 2004 ICaL study,Test potential (mV),ten Tusscher 2004 (epi),Test potential (mV),ten Tusscher 2006 (epi),Test potential (mV),Tomek 2019 ICaL study,Test potential (mV),Trovato 2020,Test potential (mV),Varela 2016 (right atrium),Test potential (mV),Wilders 1991 (ICaL),Test potential (mV),Winslow 1999 ICaL study,Test potential (mV),Zeng 1995 (ICaL),Test potential (mV),Zhang 2000
-38.01,-0.0456858,-38.01,-0.0136106,-38.01,-0.00134885,-38.01,-0.296498,-38.01,-0.0000906586,-38.01,-0.00208712,-38.01,-0.0204158,-38.01,-1.904e-7,-38.01,-0.0598638,-38.01,-0.0473528,-38.01,-0.0375041,-38.01,-0.0426695,-38.01,-0.0224943,-38.01,-0.0237273,-38.01,-0.018831,-38.01,-0.0646028,-38.01,-0.0218503,-38.01,-0.0359771,-38.01,-0.00329871,-38.01,-0.0428521,-38.01,-0.0144363,-38.01,-0.0211543,-38.01,-0.0127986,-38.01,-0.00604766,-38.01,-0.00010935,-38.01,-0.223387,-38.01,-0.025551,-38.01,-0.0392851,-38.01,-0.0265441,-38.01,-0.0394442,-38.01,-0.014231,-38.01,-0.113051,-38.01,-0.0135567,-38.01,-0.3526,-38.01,-0.0484824,-38.01,-0.0521908,-38.01,-0.064026,-38.01,-0.876024,-38.01,-1.77613e-7,-38.01,-0.0341665,-38.01,-0.0329674,-38.01,-0.0243295,-38.01,-0.0152432,-38.01,-0.0013833,-38.01,-0.0485197,-38.01,-0.000330627,-38.01,-0.0665476,-38.01,-0.00639491,-38.01,-0.0190874,-38.01,-0.0254333,-38.01,-0.0746286,-38.01,-0.0563572,-38.01,-0.0639296,-38.01,-4.65802e-10,-38.01,-0.00287723,-38.01,-0.00172179,-38.01,-0.0505964,-38.01,-1.72675e-7,-38.01,-0.0483436,-38.01,-0.109985
-36.01,-0.0579731,-36.01,-0.0172295,-36.01,-0.00207104,-36.01,-0.334158,-36.01,-0.0000686355,-36.01,-0.00283812,-36.01,-0.0286559,-36.01,-7.29657e-7,-36.01,-0.0746281,-36.01,-0.0559331,-36.01,-0.0501125,-36.01,-0.0612186,-36.01,-0.0296841,-36.01,-0.0327078,-36.01,-0.0236723,-36.01,-0.0844595,-36.01,-0.028787,-36.01,-0.0472511,-36.01,-0.00562216,-36.01,-0.0576422,-36.01,-0.0182225,-36.01,-0.02628,-36.01,-0.0168789,-36.01,-0.00961865,-36.01,-0.000377401,-36.01,-0.275423,-36.01,-0.035165,-36.01,-0.0530057,-36.01,-0.0345182,-36.01,-0.0485653,-36.01,-0.017775,-36.01,-0.171903,-36.01,-0.0172676,-36.01,-0.397959,-36.01,-0.0628686,-36.01,-0.0639242,-36.01,-0.0966664,-36.01,-0.922755,-36.01,-6.82635e-7,-36.01,-0.0516764,-36.01,-0.0505971,-36.01,-0.0402177,-36.01,-0.0209908,-36.01,-0.00212357,-36.01,-0.0614867,-36.01,-0.000712197,-36.01,-0.0941798,-36.01,-0.00964294,-36.01,-0.0259768,-36.01,-0.03289,-36.01,-0.096252,-36.01,-0.0701368,-36.01,-0.0800752,-36.01,-1.62147e-8,-36.01,-0.00441366,-36.01,-0.00250518,-36.01,-0.0641748,-36.01,-6.64917e-7,-36.01,-0.0626928,-36.01,-0.146763
-34.01,-0.0735415,-34.01,-0.02176,-34.01,-0.00317508,-34.01,-0.372122,-34.01,-0.0000840767,-34.01,-0.00385398,-34.01,-0.0400634,-34.01,-0.00000276277,-34.01,-0.0927461,-34.01,-0.0659607,-34.01,-0.0667251,-34.01,-0.0859348,-34.01,-0.0390883,-34.01,-0.0445903,-34.01,-0.0297117,-34.01,-0.110111,-34.01,-0.0377945,-34.01,-0.061744,-34.01,-0.00942963,-34.01,-0.075964,-34.01,-0.0229662,-34.01,-0.0320644,-34.01,-0.0222076,-34.01,-0.0150572,-34.01,-0.00124022,-34.01,-0.336156,-34.01,-0.0481616,-34.01,-0.0712487,-34.01,-0.0447758,-34.01,-0.0596426,-34.01,-0.0222417,-34.01,-0.24255,-34.01,-0.021969,-34.01,-0.44699,-34.01,-0.0811446,-34.01,-0.0781218,-34.01,-0.142214,-34.01,-0.95722,-34.01,-0.00000259462,-34.01,-0.0769069,-34.01,-0.0765562,-34.01,-0.0640159,-34.01,-0.0288445,-34.01,-0.00325475,-34.01,-0.077648,-34.01,-0.00152205,-34.01,-0.132446,-34.01,-0.0143121,-34.01,-0.0352624,-34.01,-0.0424535,-34.01,-0.123031,-34.01,-0.0870665,-34.01,-0.100024,-34.01,-3.25456e-7,-34.01,-0.00675756,-34.01,-0.00363955,-34.01,-0.080417,-34.01,-0.00000253254,-34.01,-0.0809238,-34.01,-0.194761
-32.01,-0.0930843,-32.01,-0.0274517,-32.01,-0.00485953,-32.01,-0.409543,-32.01,-0.000164018,-32.01,-0.00522579,-32.01,-0.0557468,-32.01,-0.000010293,-32.01,-0.114831,-32.01,-0.0776491,-32.01,-0.0884598,-32.01,-0.11854,-32.01,-0.051331,-32.01,-0.0600761,-32.01,-0.0372257,-32.01,-0.14303,-32.01,-0.049436,-32.01,-0.080238,-32.01,-0.015483,-32.01,-0.099206,-32.01,-0.02892,-32.01,-0.0386967,-32.01,-0.0291319,-32.01,-0.0231657,-32.01,-0.00382566,-32.01,-0.405487,-32.01,-0.0656329,-32.01,-0.0953118,-32.01,-0.0579017,-32.01,-0.0730174,-32.01,-0.0278663,-32.01,-0.318297,-32.01,-0.0279529,-32.01,-0.499312,-32.01,-0.104187,-32.01,-0.095241,-32.01,-0.201868,-32.01,-0.980463,-32.01,-0.00000971459,-32.01,-0.112407,-32.01,-0.113784,-32.01,-0.0978924,-32.01,-0.0395263,-32.01,-0.00497958,-32.01,-0.0978449,-32.01,-0.00321147,-32.01,-0.18442,-32.01,-0.0208967,-32.01,-0.0477079,-32.01,-0.0547015,-32.01,-0.15613,-32.01,-0.10777,-32.01,-0.124531,-32.01,-0.00000409581,-32.01,-0.010322,-32.01,-0.00527895,-32.01,-0.0994315,-32.01,-0.00000950387,-32.01,-0.103912,-32.01,-0.255039
-30.01,-0.117282,-30.01,-0.0345825,-30.01,-0.00742357,-30.01,-0.446046,-30.01,-0.000337121,-30.01,-0.0070749,-30.01,-0.0771227,-30.01,-0.0000375214,-30.01,-0.141536,-30.01,-0.0912318,-30.01,-0.116604,-30.01,-0.161207,-30.01,-0.067173,-30.01,-0.0799337,-30.01,-0.0465445,-30.01,-0.18486,-30.01,-0.064403,-30.01,-0.103655,-30.01,-0.0247384,-30.01,-0.129336,-30.01,-0.0364271,-30.01,-0.0466474,-30.01,-0.0380709,-30.01,-0.0349773,-30.01,-0.0108989,-30.01,-0.482561,-30.01,-0.0889432,-30.01,-0.126719,-30.01,-0.0745779,-30.01,-0.0890603,-30.01,-0.034957,-30.01,-0.39232,-30.01,-0.0355446,-30.01,-0.554427,-30.01,-0.13298,-30.01,-0.115799,-30.01,-0.274895,-30.01,-0.994108,-30.01,-0.000035638,-30.01,-0.160936,-30.01,-0.165381,-30.01,-0.143584,-30.01,-0.0539633,-30.01,-0.00760287,-30.01,-0.123399,-30.01,-0.00663698,-30.01,-0.2527,-30.01,-0.0299904,-30.01,-0.0642681,-30.01,-0.0703571,-30.01,-0.196957,-30.01,-0.132947,-30.01,-0.154432,-30.01,-0.0000346942,-30.01,-0.0157199,-30.01,-0.00764335,-30.01,-0.121315,-30.01,-0.000034953,-30.01,-0.132641,-30.01,-0.32729
-28.01,-0.1467,-28.01,-0.0434569,-28.01,-0.0113155,-28.01,-0.481861,-28.01,-0.00067139,-28.01,-0.00956248,-28.01,-0.105925,-28.01,-0.00013284,-28.01,-0.173517,-28.01,-0.106957,-28.01,-0.1526,-28.01,-0.216107,-28.01,-0.0875176,-28.01,-0.10496,-28.01,-0.0580574,-28.01,-0.237243,-28.01,-0.0835304,-28.01,-0.133052,-28.01,-0.038225,-28.01,-0.168467,-28.01,-0.0458845,-28.01,-0.0562776,-28.01,-0.0495128,-28.01,-0.0517555,-28.01,-0.0281968,-28.01,-0.565553,-28.01,-0.119712,-28.01,-0.167142,-28.01,-0.0955562,-28.01,-0.108159,-28.01,-0.0439225,-28.01,-0.460635,-28.01,-0.0451214,-28.01,-0.611671,-28.01,-0.168582,-28.01,-0.140368,-28.01,-0.35889,-28.01,-1,-28.01,-0.000127178,-28.01,-0.224834,-28.01,-0.233829,-28.01,-0.20188,-28.01,-0.0733092,-28.01,-0.0115803,-28.01,-0.154471,-28.01,-0.0132766,-28.01,-0.337604,-28.01,-0.0422593,-28.01,-0.0861006,-28.01,-0.0903094,-28.01,-0.246902,-28.01,-0.163354,-28.01,-0.190594,-28.01,-0.000210052,-28.01,-0.0238476,-28.01,-0.0110455,-28.01,-0.146326,-28.01,-0.000125081,-28.01,-0.168169,-28.01,-0.409796
-26.01,-0.181683,-26.01,-0.0544321,-26.01,-0.0172023,-26.01,-0.517657,-26.01,-0.00132792,-26.01,-0.0129018,-26.01,-0.144125,-26.01,-0.000452386,-26.01,-0.211378,-26.01,-0.125079,-26.01,-0.198033,-26.01,-0.284613,-26.01,-0.113401,-26.01,-0.135925,-26.01,-0.0722151,-26.01,-0.301492,-26.01,-0.107803,-26.01,-0.1696,-26.01,-0.0568123,-26.01,-0.218299,-26.01,-0.0577527,-26.01,-0.0676683,-26.01,-0.0639986,-26.01,-0.0749507,-26.01,-0.065232,-26.01,-0.651542,-26.01,-0.159647,-26.01,-0.218208,-26.01,-0.121596,-26.01,-0.130701,-26.01,-0.0552875,-26.01,-0.522539,-26.01,-0.0571323,-26.01,-0.670136,-26.01,-0.212042,-26.01,-0.169562,-26.01,-0.450525,-26.01,-0.999933,-26.01,-0.000437325,-26.01,-0.304988,-26.01,-0.319771,-26.01,-0.27222,-26.01,-0.0989339,-26.01,-0.0175878,-26.01,-0.192264,-26.01,-0.0253365,-26.01,-0.434883,-26.01,-0.0583738,-26.01,-0.114549,-26.01,-0.115626,-26.01,-0.306995,-26.01,-0.199772,-26.01,-0.233859,-26.01,-0.000956362,-26.01,-0.035994,-26.01,-0.0159277,-26.01,-0.175086,-26.01,-0.000431444,-26.01,-0.211544,-26.01,-0.499716
-24.01,-0.222306,-24.01,-0.0679269,-24.01,-0.0260662,-24.01,-0.554185,-24.01,-0.00272454,-24.01,-0.0173737,-24.01,-0.193698,-24.01,-0.00146418,-24.01,-0.255592,-24.01,-0.145834,-24.01,-0.254467,-24.01,-0.366406,-24.01,-0.145957,-24.01,-0.173494,-24.01,-0.0895267,-24.01,-0.378013,-24.01,-0.13834,-24.01,-0.214501,-24.01,-0.0809403,-24.01,-0.279579,-24.01,-0.0725813,-24.01,-0.0807551,-24.01,-0.0820943,-24.01,-0.106099,-24.01,-0.133421,-24.01,-0.736571,-24.01,-0.21017,-24.01,-0.281153,-24.01,-0.153363,-24.01,-0.157051,-24.01,-0.0696889,-24.01,-0.579094,-24.01,-0.0720976,-24.01,-0.728589,-24.01,-0.264264,-24.01,-0.204008,-24.01,-0.546102,-24.01,-0.99549,-24.01,-0.0014317,-24.01,-0.399714,-24.01,-0.420777,-24.01,-0.352565,-24.01,-0.13235,-24.01,-0.0266183,-24.01,-0.237394,-24.01,-0.0455466,-24.01,-0.535744,-24.01,-0.0788863,-24.01,-0.151077,-24.01,-0.147541,-24.01,-0.377554,-24.01,-0.242941,-24.01,-0.284926,-24.01,-0.00341858,-24.01,-0.0539767,-24.01,-0.0229105,-24.01,-0.208654,-24.01,-0.00141727,-24.01,-0.263673,-24.01,-0.593232
-22.01,-0.268476,-22.01,-0.0844301,-22.01,-0.0393345,-22.01,-0.591931,-22.01,-0.00605652,-22.01,-0.0233464,-22.01,-0.256154,-22.01,-0.00443953,-22.01,-0.306397,-22.01,-0.169422,-22.01,-0.322972,-22.01,-0.458894,-22.01,-0.186343,-22.01,-0.218136,-22.01,-0.110549,-22.01,-0.465656,-22.01,-0.176354,-22.01,-0.268846,-22.01,-0.110462,-22.01,-0.351665,-22.01,-0.0910118,-22.01,-0.0954039,-22.01,-0.104367,-22.01,-0.146653,-22.01,-0.240118,-22.01,-0.815998,-22.01,-0.271582,-22.01,-0.356317,-22.01,-0.191311,-22.01,-0.187535,-22.01,-0.0878698,-22.01,-0.631581,-22.01,-0.0906048,-22.01,-0.785443,-22.01,-0.325813,-22.01,-0.244308,-22.01,-0.641699,-22.01,-0.987969,-22.01,-0.00439724,-22.01,-0.50421,-22.01,-0.530867,-22.01,-0.439615,-22.01,-0.175036,-22.01,-0.0401123,-22.01,-0.281109,-22.01,-0.0767035,-22.01,-0.631635,-22.01,-0.104056,-22.01,-0.197122,-22.01,-0.187411,-22.01,-0.457824,-22.01,-0.293462,-22.01,-0.344194,-22.01,-0.00995099,-22.01,-0.0803003,-22.01,-0.0328561,-22.01,-0.248434,-22.01,-0.00436915,-22.01,-0.325125,-22.01,-0.685559
-20.01,-0.320185,-20.01,-0.104513,-20.01,-0.0590427,-20.01,-0.631316,-20.01,-0.0148579,-20.01,-0.0312994,-20.01,-0.331861,-20.01,-0.012409,-20.01,-0.363685,-20.01,-0.196001,-20.01,-0.403425,-20.01,-0.557271,-20.01,-0.235603,-20.01,-0.270032,-20.01,-0.135862,-20.01,-0.562445,-20.01,-0.22305,-20.01,-0.333367,-20.01,-0.144723,-20.01,-0.432351,-20.01,-0.113773,-20.01,-0.111417,-20.01,-0.131415,-20.01,-0.19775,-20.01,-0.381475,-20.01,-0.885113,-20.01,-0.341138,-20.01,-0.442546,-20.01,-0.235639,-20.01,-0.22242,-20.01,-0.11067,-20.01,-0.680831,-20.01,-0.113305,-20.01,-0.838826,-20.01,-0.396647,-20.01,-0.290973,-20.01,-0.733152,-20.01,-0.978371,-20.01,-0.0124604,-20.01,-0.611183,-20.01,-0.641503,-20.01,-0.529317,-20.01,-0.228143,-20.01,-0.0601238,-20.01,-0.326943,-20.01,-0.121183,-20.01,-0.719107,-20.01,-0.133678,-20.01,-0.253842,-20.01,-0.236596,-20.01,-0.545679,-20.01,-0.351663,-20.01,-0.411563,-20.01,-0.0243324,-20.01,-0.118293,-20.01,-0.0469432,-20.01,-0.295928,-20.01,-0.0124292,-20.01,-0.395863,-20.01,-0.771413
-18.01,-0.377701,-18.01,-0.128848,-18.01,-0.0880067,-18.01,-0.672294,-18.01,-0.0388758,-18.01,-0.0418513,-18.01,-0.419293,-18.01,-0.0314511,-18.01,-0.426886,-18.01,-0.225746,-18.01,-0.493868,-18.01,-0.655367,-18.01,-0.294469,-18.01,-0.328973,-18.01,-0.166029,-18.01,-0.663958,-18.01,-0.279456,-18.01,-0.408102,-18.01,-0.182875,-18.01,-0.518083,-18.01,-0.141673,-18.01,-0.128546,-18.01,-0.163993,-18.01,-0.259941,-18.01,-0.540782,-18.01,-0.939902,-18.01,-0.409815,-18.01,-0.536736,-18.01,-0.286419,-18.01,-0.261906,-18.01,-0.138999,-18.01,-0.727218,-18.01,-0.140907,-18.01,-0.88676,-18.01,-0.475827,-18.01,-0.344332,-18.01,-0.816167,-18.01,-0.967429,-18.01,-0.0320164,-18.01,-0.712608,-18.01,-0.743829,-18.01,-0.617488,-18.01,-0.292128,-18.01,-0.0894968,-18.01,-0.389775,-18.01,-0.180123,-18.01,-0.79802,-18.01,-0.16706,-18.01,-0.321741,-18.01,-0.296258,-18.01,-0.637494,-18.01,-0.417417,-18.01,-0.486194,-18.01,-0.0513218,-18.01,-0.172068,-18.01,-0.0667485,-18.01,-0.352398,-18.01,-0.0320559,-18.01,-0.474955,-18.01,-0.84604
-16.01,-0.441343,-16.01,-0.158215,-16.01,-0.129925,-16.01,-0.713898,-16.01,-0.0989792,-16.01,-0.0557924,-16.01,-0.514622,-16.01,-0.0712287,-16.01,-0.494893,-16.01,-0.258946,-16.01,-0.590243,-16.01,-0.746965,-16.01,-0.363073,-16.01,-0.394295,-16.01,-0.201538,-16.01,-0.763553,-16.01,-0.346165,-16.01,-0.491992,-16.01,-0.224273,-16.01,-0.604556,-16.01,-0.175596,-16.01,-0.146513,-16.01,-0.203202,-16.01,-0.332931,-16.01,-0.69504,-16.01,-0.977699,-16.01,-0.464041,-16.01,-0.633837,-16.01,-0.343894,-16.01,-0.306133,-16.01,-0.173773,-16.01,-0.770835,-16.01,-0.174179,-16.01,-0.927451,-16.01,-0.561268,-16.01,-0.404417,-16.01,-0.886694,-16.01,-0.955645,-16.01,-0.0734385,-16.01,-0.801758,-16.01,-0.831002,-16.01,-0.700374,-16.01,-0.36647,-16.01,-0.131968,-16.01,-0.460743,-16.01,-0.252106,-16.01,-0.866971,-16.01,-0.203373,-16.01,-0.400223,-16.01,-0.367033,-16.01,-0.728359,-16.01,-0.489949,-16.01,-0.566314,-16.01,-0.0954932,-16.01,-0.246021,-16.01,-0.0943089,-16.01,-0.418484,-16.01,-0.0737428,-16.01,-0.560326,-16.01,-0.906223
-14.01,-0.510819,-14.01,-0.193496,-14.01,-0.189216,-14.01,-0.75503,-14.01,-0.216928,-14.01,-0.0741154,-14.01,-0.612025,-14.01,-0.142667,-14.01,-0.566045,-14.01,-0.296002,-14.01,-0.686781,-14.01,-0.827027,-14.01,-0.440632,-14.01,-0.464838,-14.01,-0.24273,-14.01,-0.853444,-14.01,-0.42299,-14.01,-0.582537,-14.01,-0.2687,-14.01,-0.687486,-14.01,-0.216496,-14.01,-0.16502,-14.01,-0.250499,-14.01,-0.41538,-14.01,-0.824567,-14.01,-0.99752,-14.01,-0.506878,-14.01,-0.727592,-14.01,-0.408652,-14.01,-0.355164,-14.01,-0.215802,-14.01,-0.811636,-14.01,-0.213925,-14.01,-0.959536,-14.01,-0.649647,-14.01,-0.470823,-14.01,-0.941483,-14.01,-0.943339,-14.01,-0.14873,-14.01,-0.874498,-14.01,-0.899412,-14.01,-0.775037,-14.01,-0.449634,-14.01,-0.191999,-14.01,-0.53889,-14.01,-0.332506,-14.01,-0.922687,-14.01,-0.242484,-14.01,-0.487205,-14.01,-0.448593,-14.01,-0.812693,-14.01,-0.567659,-14.01,-0.649107,-14.01,-0.159744,-14.01,-0.343442,-14.01,-0.132111,-14.01,-0.493783,-14.01,-0.149516,-14.01,-0.648664,-14.01,-0.950713
-12.01,-0.584577,-12.01,-0.235632,-12.01,-0.270247,-12.01,-0.794628,-12.01,-0.379099,-12.01,-0.0980414,-12.01,-0.704889,-12.01,-0.251833,-12.01,-0.638205,-12.01,-0.337279,-12.01,-0.777034,-12.01,-0.892374,-12.01,-0.525178,-12.01,-0.538953,-12.01,-0.289731,-12.01,-0.926186,-12.01,-0.508588,-12.01,-0.675664,-12.01,-0.316247,-12.01,-0.76328,-12.01,-0.265349,-12.01,-0.183725,-12.01,-0.307334,-12.01,-0.504836,-12.01,-0.918695,-12.01,-1,-12.01,-0.562797,-12.01,-0.811887,-12.01,-0.481285,-12.01,-0.408963,-12.01,-0.26563,-12.01,-0.849493,-12.01,-0.260944,-12.01,-0.982281,-12.01,-0.736586,-12.01,-0.542568,-12.01,-0.978606,-12.01,-0.930695,-12.01,-0.264883,-12.01,-0.929447,-12.01,-0.948521,-12.01,-0.839511,-12.01,-0.539165,-12.01,-0.273996,-12.01,-0.622338,-12.01,-0.414762,-12.01,-0.962588,-12.01,-0.285916,-12.01,-0.579004,-12.01,-0.539165,-12.01,-0.885157,-12.01,-0.648034,-12.01,-0.730833,-12.01,-0.244105,-12.01,-0.464025,-12.01,-0.182914,-12.01,-0.576491,-12.01,-0.265911,-12.01,-0.735602,-12.01,-0.980002
-10.01,-0.659719,-10.01,-0.285522,-10.01,-0.375556,-10.01,-0.831768,-10.01,-0.547466,-10.01,-0.129025,-10.01,-0.787414,-10.01,-0.39349,-10.01,-0.708913,-10.01,-0.38296,-10.01,-0.855229,-10.01,-0.941717,-10.01,-0.61346,-10.01,-0.614573,-10.01,-0.342417,-10.01,-0.976094,-10.01,-0.600152,-10.01,-0.765985,-10.01,-0.367071,-10.01,-0.829423,-10.01,-0.323019,-10.01,-0.202195,-10.01,-0.374449,-10.01,-0.597825,-10.01,-0.975768,-10.01,-0.987014,-10.01,-0.638152,-10.01,-0.882109,-10.01,-0.561531,-10.01,-0.467326,-10.01,-0.323335,-10.01,-0.884199,-10.01,-0.315915,-10.01,-0.995603,-10.01,-0.817146,-10.01,-0.617973,-10.01,-0.997732,-10.01,-0.917799,-10.01,-0.416494,-10.01,-0.967322,-10.01,-0.979896,-10.01,-0.892772,-10.01,-0.631602,-10.01,-0.3805,-10.01,-0.708125,-10.01,-0.493037,-10.01,-0.986775,-10.01,-0.337082,-10.01,-0.670679,-10.01,-0.635159,-10.01,-0.941577,-10.01,-0.727735,-10.01,-0.807205,-10.01,-0.345351,-10.01,-0.600893,-10.01,-0.249253,-10.01,-0.663239,-10.01,-0.416446,-10.01,-0.81621,-10.01,-0.995719
